,names,posFtNegLbl,posFtPosLbl,negFtNegLbl,negFtPosLbl,elseCase,timing
137,PRIMARY HYPERPARATHYROIDISM Parathyroid adenoma,1,0,2207,225,0,0.0008220672607421875
138,HYPOPARATHYROIDISM,1,1,2207,224,0,0.0008208751678466797
139,ACROMEGALY AND GIGANTISM,1,0,2207,225,0,0.0008330345153808594
140,HYPERPROLACTINEMIA,2,0,2206,225,0,0.0008378028869628906
141,ISOLATED GROWTH HORMONE DEFICIT GH ET?ɂǨ DEVELOPMENTAL,1,0,2207,225,0,0.0008089542388916016
142,HYPERCHOLESTEROLEMIA,87,8,2121,217,0,0.0008499622344970703
143,ISOLATED OR SPORADIC HYPERTRIGLYCERIDEMIA,1,0,2207,225,0,0.0008401870727539062
144,DYSLIPIDEMIA,23,3,2185,222,0,0.0008227825164794922
145,DYSLIPIDEMIA - HYPERLIPIDEMIA -,23,15,2185,210,0,0.0008699893951416016
146,MONOCLONAL GAMMAPATHY of uncertain significance,50,10,2158,215,0,0.0008320808410644531
147,GOUTY ARTHROPATHY < GOUT >,1,0,2207,225,0,0.0008149147033691406
148,GOUT,69,18,2139,207,0,0.0008339881896972656
149,Parathyroid-free hypocalcemia,2,0,2206,225,0,0.000823974609375
150,GILBERT SYNDROME,98,8,2110,217,0,0.0008270740509033203
151,MUCOPOLYSACCHARIDOSIS,1,0,2207,225,0,0.0008091926574707031
152,HISTOCYTOSIS,1,0,2207,225,0,0.0008418560028076172
153,OBESITY,0,0,0,0,2,0.0002887248992919922
154,SEVERE OBESITY,0,1,2208,224,0,0.0008571147918701172
155,HYPOGAMMAGLOBULINEMIA,2,0,2206,225,0,0.0008471012115478516
156,IRON FREE ANEMIA,1,0,2207,225,0,0.0008420944213867188
157,SIDE OPENING ANEMIA,29,3,2179,222,0,0.0008368492126464844
158,PERNICIOUS ANEMIA,2,0,2206,225,0,0.0008199214935302734
159,VITAMIN B12 DEFICIENCY ANEMIA < MEGALOBLASTIC >,1,0,2207,225,0,0.0008401870727539062
160,MACROCYTIC ANEMIA,3,0,2205,225,0,0.0008349418640136719
161,THALASSEMIA MINOR,6,2,2202,223,0,0.0008139610290527344
162,HEMOGLOBINOPATHY,1,0,2207,225,0,0.0008251667022705078
163,APLASTIC ANEMIA,1,0,2207,225,0,0.0008220672607421875
164,mild normochromic ANEMIA macrocytic,2,0,2206,225,0,0.0008227825164794922
165,SCHOENLEIN-HENOCH VASCULAR PURPURA,1,0,2207,225,0,0.0008270740509033203
166,PURPLE,0,1,2208,224,0,0.0008399486541748047
167,PRIMARY THROMBOCYTOPENIA,1,0,2207,225,0,0.0008249282836914062
168,THROATPINOPENIA,8,1,2200,224,0,0.0008330345153808594
169,NEUTROPENIA,1,0,2207,225,0,0.0008220672607421875
170,EOSINOPHILIA Disease caused by eosinophilic infiltrates,1,0,2207,225,0,0.0008289813995361328
171,SUSPECTED: POLYCYTHEMIA probably. secondary to the s. disventitaloria,7,2,2201,223,0,0.0008199214935302734
172,LYMPHADENITIS right armpit,1,0,2207,225,0,0.0008141994476318359
173,MYELOFIBROSIS,4,1,2204,224,0,0.0008230209350585938
174,SENILE DEMENTIA,32,12,2176,213,0,0.0008447170257568359
175,PRESENILE DEMENTIA,1,1,2207,224,0,0.0008120536804199219
176,SENILE PSYCHOSIS,2,0,2206,225,0,0.0008189678192138672
177,ARTERIOSCLEROTIC DEMENTIA,0,0,0,0,2,0.00029015541076660156
178,DELIRIUM TREMENS,1,0,2207,225,0,0.0008461475372314453
179,SCHIZOPHRENIC PSYCHOSIS SIMPLE TYPE,2,0,2206,225,0,0.0008649826049804688
180,PARANOID TYPE SCHIZOPHRENIC PSYCHOSIS,1,0,2207,225,0,0.0008258819580078125
181,SCHIZOAFFECTIVE TYPE,1,0,2207,225,0,0.0008308887481689453
182,MANIC DEPRESSIVE PSYCHOSIS OF MANIC TYPE,1,0,2207,225,0,0.0008170604705810547
183,ENDOGENOUS DEPRESSION,8,1,2200,224,0,0.000820159912109375
184,MAJOR DEPRESSION RECURRING EPISODE,2,0,2206,225,0,0.0008308887481689453
185,BIPOLAR AFFECTIVE SYNDROME,2,0,2206,225,0,0.0008180141448974609
186,MANIC-DEPRESSIVE PSYCHOSIS,0,0,0,0,2,0.0002918243408203125
187,DEPRESSIVE PSYCHOSIS,2,0,2206,225,0,0.0008308887481689453
188,PSYCHOSIS,11,1,2197,224,0,0.0008380413055419922
189,ANXIETY,0,0,0,0,2,0.0002951622009277344
190,PANIC ATTACK,4,0,2204,225,0,0.0008368492126464844
191,ANXIOUS DEPRESSION,22,1,2186,224,0,0.0008261203765869141
192,BODY DYSMORPHIC SYNDROME,1,0,2207,225,0,0.0008289813995361328
193,ERECTILE DYSFUNCTION,1,0,2207,225,0,0.0008249282836914062
194,PSYCHOSEXUAL DYSFUNCTION WITH PREMATURE EJACULATION,1,0,2207,225,0,0.0008139610290527344
195,CHRONIC ALCOHOLISM,0,0,0,0,2,0.000286102294921875
196,CANNABIS DRUG ADDICTION,1,0,2207,225,0,0.0008339881896972656
197,HEART PALM,1,0,2207,225,0,0.0008370876312255859
198,INSOMNIA,0,1,2208,224,0,0.0008251667022705078
199,BULIMIA,1,0,2207,225,0,0.0008108615875244141
200,TENSION HEADACHE,0,0,0,0,2,0.00028395652770996094
201,ANXIETY EMOTIONAL CRISIS OR PANIC STATE DUE TO STRESS,1,0,2207,225,0,0.0008299350738525391
202,COGNITIVE DEFICIT,2,1,2206,224,0,0.0008211135864257812
203,DEPRESSION,0,0,0,0,2,0.00028896331787109375
204,DYSLEXIA DEVELOPMENT,1,0,2207,225,0,0.0008308887481689453
205,FUNCTIONAL COLONPATHY < SPASTIC COLITIS >,1,0,2207,225,0,0.000823974609375
206,VIRAL MENINGITIS FROM TUSCANY VIRUS,1,0,2207,225,0,0.0008258819580078125
207,ALZHEIMER'S DISEASE,20,2,2188,223,0,0.0008161067962646484
208,ACQUIRED HYDROCEPHALUS,0,1,2208,224,0,0.0008518695831298828
209,PARKINSON'S DISEASE,16,2,2192,223,0,0.0008237361907958984
210,SECONDARY PARKINSONISM,1,1,2207,224,0,0.0008282661437988281
211,PROGRESSIVE SUPRANUCLEAR PARALYSIS,0,1,2208,224,0,0.0008380413055419922
212,BENIGN ESSENTIAL TREMOR,1,3,2207,222,0,0.0008189678192138672
213,DYSTONIA MUSCULORUM DEFORMANS,1,0,2207,225,0,0.0008220672607421875
214,EXTRAPYRAMIDAL SYNDROME,1,0,2207,225,0,0.0008220672607421875
215,EXTRAPYRAMIDAL DISEASES AND MOVEMENT DISORDERS,1,0,2207,225,0,0.0008139610290527344
216,AMYOTROPHIC LATERAL SCLEROSIS,0,0,0,0,2,0.00037407875061035156
217,SYRINGOMYELIA - SYRINGOBULBIA -,1,0,2207,225,0,0.0008378028869628906
218,Lumbar spondylogenous myelopathy,0,1,2208,224,0,0.0008289813995361328
219,MULTIPLE SCLEROSIS < SAP >,4,0,2204,225,0,0.0008380413055419922
220,OPTICAL NEUROMYELITIS,1,0,2207,225,0,0.0008330345153808594
221,LEFT HEMIPARESIS,1,0,2207,225,0,0.0008249282836914062
222,TETRAPLEGIA in cervical myelic fracture,2,0,2206,225,0,0.0008351802825927734
223,CONGENITAL SPASTIC CEREBRAL PALSY,1,0,2207,225,0,0.0008461475372314453
224,GENERALIZED NON-CONVULSIVE EPILEPSY,1,0,2207,225,0,0.0008738040924072266
225,GENERALIZED CONVULSIVE EPILEPSY,1,0,2207,225,0,0.0008411407470703125
226,PARTIAL EPILEPSY,0,1,2208,224,0,0.0008330345153808594
227,EPILEPSY,10,3,2198,222,0,0.0008337497711181641
228,MIGRAINE WITH AURA,4,0,2204,225,0,0.0008230209350585938
229,Common migraine,1,0,2207,225,0,0.000820159912109375
230,MIGRAINE,22,0,2186,225,0,0.0008108615875244141
231,MULTIINFARTUAL ENCEPHALOPATHY,1,0,2207,225,0,0.0008220672607421875
232,TRIGEMINAL NEURALGIA,2,0,2206,225,0,0.0008211135864257812
233,BELL PARALYSIS,1,0,2207,225,0,0.0008418560028076172
234,LEFT CARPAL TUNNEL SYNDROME,17,1,2191,224,0,0.0008199214935302734
235,METARSALGIA MORTON NEURALGIA OR NEURINOMA on the right,2,0,2206,225,0,0.0008339881896972656
236,POLYNEUROPATHY DUE TO OTHER TOXIC AGENTS,1,0,2207,225,0,0.0008208751678466797
237,TOXIC AND INFLAMMATORY NEUROPATHIES,1,0,2207,225,0,0.0008189678192138672
238,SEVERE MYASTHENIA,0,2,2208,223,0,0.0008230209350585938
239,BENIGN CONGENITAL MYOPATHY,1,0,2207,225,0,0.0008330345153808594
240,GAIT DISORDERS,0,0,0,0,2,0.0003070831298828125
241,RETINAL DETACHMENT,3,0,2205,225,0,0.0008282661437988281
242,AMAUROSIS FUGAX,1,0,2207,225,0,0.0008449554443359375
243,CENTRAL RETINA VEIN OCCLUSION,1,0,2207,225,0,0.0008270740509033203
244,MACULAR DEGENERATION,0,1,2208,224,0,0.0008370876312255859
245,MACULOPATHY,2,1,2206,224,0,0.0008237361907958984
246,IRIDOCYCLITIS,1,0,2207,225,0,0.0008270740509033203
247,RECURRENT ANTERIOR UVEITIS,1,0,2207,225,0,0.0008180141448974609
248,UVEITIS,3,0,2205,225,0,0.0008590221405029297
249,GLAUCOMA LIMIT,4,3,2204,222,0,0.0008189678192138672
250,Ocular hypertension,1,0,2207,225,0,0.0008189678192138672
251,OPEN ANGLE GLAUCOMA,2,2,2206,223,0,0.0008120536804199219
252,Simple chronic GLAUCOMA,0,1,2208,224,0,0.0008339881896972656
253,GLAUCOMA,100,42,2108,183,0,0.0008211135864257812
254,SENILE CATARACT Interv. of phacoemulsification and implantation,0,1,2208,224,0,0.0008308887481689453
255,CATARACT,4,0,2204,225,0,0.0008270740509033203
256,DIPLOPIA,1,0,2207,225,0,0.0008220672607421875
257,VISUAL FIELD DEFECTS right homonymous hemianopia,1,0,2207,225,0,0.0008249282836914062
258,THEY GIVE DEEP VISION IN BOTH EYES,1,1,2207,224,0,0.0008311271667480469
259,VISION DEFICIT,1,0,2207,225,0,0.0008289813995361328
260,MODERATE BLINDNESS BETTER EYE OTHER SERIOUS IMPAIRMENT,1,0,2207,225,0,0.0008349418640136719
261,BLINDNESS?ɂǨ DX,2,1,2206,224,0,0.0008258819580078125
262,HYPOVISUS,2,0,2206,225,0,0.0008270740509033203
263,HERPETIC KERATITIS,0,1,2208,224,0,0.0008299350738525391
264,KERATOCONUS,1,0,2207,225,0,0.0008130073547363281
265,CONJUNCTIVITIS,2,0,2206,225,0,0.0008270740509033203
266,CALAZIO SX,1,0,2207,225,0,0.0008399486541748047
267,EYELID PTOSIS,0,1,2208,224,0,0.0008358955383300781
268,OPTICAL NEURITIS OD,1,0,2207,225,0,0.0008330345153808594
269,OPTICAL PAPILLITIS,1,0,2207,225,0,0.0008487701416015625
270,EXOTROPIA,1,0,2207,225,0,0.0008249282836914062
271,SIXTH NERVE PARESIS OR ABDUCENT NERVE OS,1,0,2207,225,0,0.0008189678192138672
272,VITREAL DETACHMENT,1,0,2207,225,0,0.0008308887481689453
273,VITREAL HEMORRHAGE,1,0,2207,225,0,0.0008378028869628906
274,INFECTIOUS OTITIS EXTERNAL,1,0,2207,225,0,0.00081634521484375
275,ACUTE OTITIS EXTERNAL,3,0,2205,225,0,0.0008327960968017578
276,CHRONIC SEROUS OTITIS MEDIA,1,0,2207,225,0,0.0008411407470703125
277,CATARRAL OTITIS MEDIA,4,0,2204,225,0,0.0008249282836914062
278,OTITIS MEDIA,4,0,2204,225,0,0.0008280277252197266
279,CHOLESTEATOMA,1,0,2207,225,0,0.0008461475372314453
280,MENIERE DISEASE,2,0,2206,225,0,0.0008227825164794922
281,BENIGN PAROXYSTICAL POSTURAL VERTIGO,1,0,2207,225,0,0.000820159912109375
282,VESTIBULAR NEURONITIS,1,0,2207,225,0,0.0008370876312255859
283,COCHLEAR OTOSCLEROSIS Au right,1,0,2207,225,0,0.0008270740509033203
284,OTOSCLEROSIS,3,0,2205,225,0,0.0008251667022705078
285,PRESBYACUSIS,1,0,2207,225,0,0.0008208751678466797
286,TINNITUS,1,0,2207,225,0,0.0008220672607421875
287,TINNITUS Au left,2,0,2206,225,0,0.0008237361907958984
288,NEUROSENSORIAL HARDNESS?ɂǨ,1,0,2207,225,0,0.0008182525634765625
289,DEAF MUTE,1,0,2207,225,0,0.0008220672607421875
290,HEARING IMPAIRMENT,18,3,2190,222,0,0.0008258819580078125
291,Mitral stenosis,1,0,2207,225,0,0.0008230209350585938
292,RHEUMATIC MITRAL VALVULOPATHY,1,0,2207,225,0,0.0008251667022705078
293,CHRONIC RHEUMATIC VALVULOPATHY,0,1,2208,224,0,0.0008199214935302734
294,ESSENTIAL HYPERTENSION,7,1,2201,224,0,0.0008230209350585938
295,BENIGN ARTERIAL HYPERTENSION,0,1,2208,224,0,0.0008246898651123047
296,HYPERTENSION,483,130,1725,95,0,0.0008518695831298828
297,HYPERTENSIVE HEART DISEASE,5,0,2203,225,0,0.0008482933044433594
298,ACUTE MYOCARDIAL INFARCTION,0,0,0,0,4,0.000392913818359375
299,NON Q heart attack,2,0,2206,225,0,0.0008609294891357422
300,INTERMEDIATE CORONARY SYNDROME,1,0,2207,225,0,0.0008842945098876953
301,PREVIOUS MYOCARDIAL INFARCTION,11,4,2197,221,0,0.0008401870727539062
302,ANGINA PECTORIS,1,0,2207,225,0,0.0008769035339355469
303,ARTERIOSCLEROTIC HEART DISEASE,1,2,2207,223,0,0.0008320808410644531
304,CHRONIC MYOCARDIAL ISCHEMIA,9,2,2199,223,0,0.0008299350738525391
305,CHRONIC CARDIAC ISCHEMIA,61,23,2147,202,0,0.0008449554443359375
306,PULMONARY EMBOLISM,3,1,2205,224,0,0.000843048095703125
307,CHRONIC HEART OF LUNG,1,0,2207,225,0,0.0008361339569091797
308,MITRAL INSUFFICIENCY,14,1,2194,224,0,0.0008230209350585938
309,AORTIC STENOSIS,19,4,2189,221,0,0.0008578300476074219
310,TRICUSPIS INSUFFICIENCY,1,0,2207,225,0,0.0008232593536376953
311,STENOSING HYPERTROPHIC MYOCARDIOPATHY,3,0,2205,225,0,0.0011029243469238281
312,DILATED CARDIOMYOPATHY,2,1,2206,224,0,0.0008311271667480469
313,MYOCARDIOPATEDIES,1,0,2207,225,0,0.0009298324584960938
314,COMPLETE ATRIOVENTRICULAR BLOCK,3,1,2205,224,0,0.0008690357208251953
315,AV BLOCK 1?ɬ? GRADE,1,0,2207,225,0,0.0008661746978759766
316,ATRIOVENTRICULAR BLOCK I GRADE,1,0,2207,225,0,0.0008330345153808594
317,LEFT BRANCH HEMIBLOCK,1,0,2207,225,0,0.0008661746978759766
318,COMPLETE SN BRANCH BLOCK,4,2,2204,223,0,0.0008261203765869141
319,WOLFF-PARKINSON-WHITE SYNDROME,2,0,2206,225,0,0.0008218288421630859
320,OTHER SPECIFIED CONDUCTION DISORDERS,1,0,2207,225,0,0.0008480548858642578
321,CONDUCTION DISORDERS BRUGADA SYNDROME,1,0,2207,225,0,0.0008339881896972656
322,SUPRAVENTRICULAR PAROXYSTICAL TACHYCARDIA,10,0,2198,225,0,0.0008199214935302734
323,ATRIAL FIBRILLATION,0,0,0,0,2,0.00029087066650390625
324,ATRIAL FLUTTER,3,1,2205,224,0,0.0008699893951416016
325,CARDIAC ARREST,1,0,2207,225,0,0.0008399486541748047
326,VENTRICULAR EXTRASYSTOLES,1,0,2207,225,0,0.0008139610290527344
327,EXTRASYSTOLE,2,0,2206,225,0,0.0008158683776855469
328,SINOATRIAL NODE DYSFUNCTION,1,0,2207,225,0,0.0008730888366699219
329,CARDIAC ARRHYTHMIA,1,0,2207,225,0,0.0008170604705810547
330,CONGESTIVE HEART FAILURE CONGESTIVE HEART FAILURE,2,1,2206,224,0,0.0008337497711181641
331,CARDIAC ASTHMA,1,0,2207,225,0,0.0008361339569091797
332,HEART FAILURE,69,27,2139,198,0,0.0008361339569091797
333,SENILE MYOCARDITIS,1,0,2207,225,0,0.0008389949798583984
334,SUBARACHNOID HEMORRHAGE,4,0,2204,225,0,0.0008270740509033203
335,CEREBRAL HEMORRHAGE IN THE RIGHT FRONTAL SITE,3,1,2205,224,0,0.0008330345153808594
336,CEREBRAL HEMORRHAGE,1,0,2207,225,0,0.0008280277252197266
337,SUBDURAL HEMORRHAGE,1,0,2207,225,0,0.0008521080017089844
338,CAROTID ARTERY STENOSIS,2,1,2206,224,0,0.000843048095703125
339,CAROTID STENOSIS,2,3,2206,222,0,0.0008399486541748047
340,Cerebral thrombosis,2,0,2206,225,0,0.0008420944213867188
341,CEREBRAL STROKE < CEREBRAL ARTERY OCCLUSION >,33,9,2175,216,0,0.0008399486541748047
342,TRANSIENT CEREBRAL ISCHEMIA < TIA >,0,0,0,0,2,0.0002970695495605469
343,TRANSIENT CEREBRAL ISCHEMIA,8,9,2200,216,0,0.0008420944213867188
344,STROKE,42,11,2166,214,0,0.0008246898651123047
345,CEREBRAL ARTERIOSCLEROSIS,2,1,2206,224,0,0.0008182525634765625
346,MULTINFARTUAL ENCEPHALOPATHY,14,5,2194,220,0,0.0008308887481689453
347,CIRCULATORY DISORDERS BRAIN,3,1,2205,224,0,0.0008389949798583984
