ft name, total 0, total 1, 0 & diabetes, 0 & no diabetes, 1 & diabetes, 1 & no diabetes,diabetes + 1 / 1,no diabetes + 1 / 1,diabetes + 0/0,no diabetes + 0/0,
CHRONIC ASTHMATIC BRONCHITIS,2432,1,224,2208,1,0,100%,0%,9%,91%,
DUODENAL ULCER WITH HEMORRHAGE,2432,1,224,2208,1,0,100%,0%,9%,91%,
"IRREDIUCIBLE INCARCERATED PAROCELE, STROKED OR WITH OCCLUSION",2432,1,224,2208,1,0,100%,0%,9%,91%,
FUNCTIONAL DIARRHEA,2432,1,224,2208,1,0,100%,0%,9%,91%,
CHOLELITHIASIS WITH ACUTE CHOLECYSTITIS,2432,1,224,2208,1,0,100%,0%,9%,91%,
EPIDIDYMIS CYST on the right (Removal procedure 20.3.2000),2432,1,224,2208,1,0,100%,0%,9%,91%,
TROPHIC ULCER left leg,2432,1,224,2208,1,0,100%,0%,9%,91%,
ANTERIOR HORN INTERNAL MENISCUS INJURY,2432,1,224,2208,1,0,100%,0%,9%,91%,
CERVICAL SPONDYLOSIS WITH MYELOPATHY,2432,1,224,2208,1,0,100%,0%,9%,91%,
INTERVERTEBRAL DISC DISORDERS WITH MYELOPATHY,2432,1,224,2208,1,0,100%,0%,9%,91%,
CERVICAL DYSCOPATHY WITH MYELOPATHY,2432,1,224,2208,1,0,100%,0%,9%,91%,
DUPUYTREN'S DISEASE,2431,2,223,2208,2,0,100%,0%,9%,91%,
ASEPTIC BONES NECROSIS Right femur head,2432,1,224,2208,1,0,100%,0%,9%,91%,
HORSESHOE KIDNEY,2432,1,224,2208,1,0,100%,0%,9%,91%,
GONADAL DYSGENESIA,2432,1,224,2208,1,0,100%,0%,9%,91%,
OTHER MULTIPLE CONGENITAL ANOMALIES WITH MENTAL RETARDATION,2432,1,224,2208,1,0,100%,0%,9%,91%,
SNORING,2432,1,224,2208,1,0,100%,0%,9%,91%,
GANGRENE,2432,1,224,2208,1,0,100%,0%,9%,91%,
FECAL INCONTINENCE,2432,1,224,2208,1,0,100%,0%,9%,91%,
FRACTURE OF THE RIGHT ORBIT,2432,1,224,2208,1,0,100%,0%,9%,91%,
PELVIS FRACTURE,2432,1,224,2208,1,0,100%,0%,9%,91%,
FRACTURE OTHER BONES TARSO METATARSUS CLOSED Base of V metatarsal,2432,1,224,2208,1,0,100%,0%,9%,91%,
PNEUMOEMOTHORAX WITHOUT OPEN WOUND IN THE CHEST,2432,1,224,2208,1,0,100%,0%,9%,91%,
INFECTION AND INFLATION FROM INTERNAL JOINT PROSTHESES septic mobilization APT gin,2432,1,224,2208,1,0,100%,0%,9%,91%,
OTHER COMPLICATIONS FROM INTERNAL JOINT PROSTHESES,2432,1,224,2208,1,0,100%,0%,9%,91%,
Liver replaced by transplant,2432,1,224,2208,1,0,100%,0%,9%,91%,
KNEE PROSTHESIS,2432,1,224,2208,1,0,100%,0%,9%,91%,
PERSON WHO LIVES ALONE,2432,1,224,2208,1,0,100%,0%,9%,91%,
DIABETIC RETINOPATHY,2432,1,224,2208,1,0,100%,0%,9%,91%,
PROGRESSIVE URETHRAL DILATIONS,2432,1,224,2208,1,0,100%,0%,9%,91%,
GALACTOGRAPHY,2432,1,224,2208,1,0,100%,0%,9%,91%,
CT KNEE LEFT <ARTHROTAC>,2432,1,224,2208,1,0,100%,0%,9%,91%,
ACOUSTIC EVOKED POTENTIALS,2432,1,224,2208,1,0,100%,0%,9%,91%,
GLOBAL SPIROMETRY PLETHYSMGR TECHNIQUE.,2432,1,224,2208,1,0,100%,0%,9%,91%,
CAPILLARY ALVEOLUS DIFFUSION OF THE CO,2432,1,224,2208,1,0,100%,0%,9%,91%,
LITHIUM,2432,1,224,2208,1,0,100%,0%,9%,91%,
CA 72-4 <CARBOHYDRATE ANTIGEN 72-4>,2432,1,224,2208,1,0,100%,0%,9%,91%,
TPA <TISSUE POLYPEPTIDE ANTIGEN>,2432,1,224,2208,1,0,100%,0%,9%,91%,
CORNEAL PACHYMETRY,2432,1,224,2208,1,0,100%,0%,9%,91%,
DISPOSABLE SYRINGES FOR INSULIN,2432,1,224,2208,1,0,100%,0%,9%,91%,
GLUCOSE TEST STRIPS,2430,3,222,2208,3,0,100%,0%,9%,91%,
THERMAL TREATMENTS,2432,1,224,2208,1,0,100%,0%,9%,91%,
INTRAMUSCULAR INJECTION AMBUL. NURSE.,2432,1,224,2208,1,0,100%,0%,9%,91%,
LANCET LANCETS,2432,1,224,2208,1,0,100%,0%,9%,91%,
only Case I,2432,1,224,2208,1,0,100%,0%,9%,91%,
'ACIDO IBANDRONICO',2432,1,224,2208,1,0,100%,0%,9%,91%,
'ACITRETINA',2431,2,223,2208,2,0,100%,0%,9%,91%,
'BACAMPICILLINA',2432,1,224,2208,1,0,100%,0%,9%,91%,
'CEFDITOREN',2432,1,224,2208,1,0,100%,0%,9%,91%,
'DRENANTI',2432,1,224,2208,1,0,100%,0%,9%,91%,
only Case I_1 (my edit),2432,1,224,2208,1,0,100%,0%,9%,91%,
'GABAPENTIN',2432,1,224,2208,1,0,100%,0%,9%,91%,
only Case I_2 (my edit),2432,1,224,2208,1,0,100%,0%,9%,91%,
only Case I_3 (my edit),2424,9,216,2208,9,0,100%,0%,9%,91%,
only Case I_4 (my edit),2423,10,215,2208,10,0,100%,0%,9%,91%,
only Case I_5 (my edit),2432,1,224,2208,1,0,100%,0%,9%,91%,
only Case I_6 (my edit),2421,12,213,2208,12,0,100%,0%,9%,91%,
only Case I_7 (my edit),2432,1,224,2208,1,0,100%,0%,9%,91%,
only Case I_8 (my edit),2426,7,218,2208,7,0,100%,0%,9%,91%,
only Case I_9 (my edit),2432,1,224,2208,1,0,100%,0%,9%,91%,
'MEFLOCHINA',2432,1,224,2208,1,0,100%,0%,9%,91%,
'MELOXICAM',2432,1,224,2208,1,0,100%,0%,9%,91%,
only Case I_11 (my edit),2432,1,224,2208,1,0,100%,0%,9%,91%,
only Case I_12 (my edit),2432,1,224,2208,1,0,100%,0%,9%,91%,
only Case I_13 (my edit),2429,4,221,2208,4,0,100%,0%,9%,91%,
only Case I_14 (my edit),2432,1,224,2208,1,0,100%,0%,9%,91%,
'MORNIFLUMATO',2432,1,224,2208,1,0,100%,0%,9%,91%,
'MOXIFLOXACINA',2431,2,223,2208,2,0,100%,0%,9%,91%,
'PENTOXIFILLINA',2432,1,224,2208,1,0,100%,0%,9%,91%,
only Case I_15 (my edit),2431,2,223,2208,2,0,100%,0%,9%,91%,
'PIPERACILLINA ED INIBITORI ENZIMATICI',2431,2,223,2208,2,0,100%,0%,9%,91%,
'PIRIDOSTIGMINA',2432,1,224,2208,1,0,100%,0%,9%,91%,
only Case I_16 (my edit),2431,2,223,2208,2,0,100%,0%,9%,91%,
'SULODEXIDE',2432,1,224,2208,1,0,100%,0%,9%,91%,
'UBIDECARENONE',2432,1,224,2208,1,0,100%,0%,9%,91%,
Myasthenia gravis,2431,2,223,2208,2,0,100%,0%,9%,91%,
"SUBJECTS BELONGING TO FAMILIES WITH ANNUAL INCOME UP TO EUR 18,000",2432,1,224,2208,1,0,100%,0%,9%,91%,
MITOCONDRUM MYOPATHY-ENCEPHALOPATHY-LACTIC ACIDOSIS-STROKE,2432,1,224,2208,1,0,100%,0%,9%,91%,
only Case I_10 (my edit),2381,52,174,2207,51,1,98%,2%,7%,93%,
MICROALBUMINURIA,2413,20,206,2207,19,1,95%,5%,9%,91%,
GLYCATED HEMOGLOBIN,2328,105,134,2194,91,14,87%,13%,6%,94%,
GFR estimated with MDRD formula,2344,89,148,2196,77,12,87%,13%,6%,94%,
FUNDUS OCULAR <FUNDUS>,2424,9,218,2206,7,2,78%,22%,9%,91%,
BENIGN ESSENTIAL TREMOR,2429,4,222,2207,3,1,75%,25%,9%,91%,
DRESSINGS IN THE NURSING CENTER,2429,4,222,2207,3,1,75%,25%,9%,91%,
'ALCALOIDI DELLOPPIO E SUOI DERIVATI',2429,4,222,2207,3,1,75%,25%,9%,91%,
ARTERIOSCLEROTIC HEART DISEASE,2430,3,223,2207,2,1,67%,33%,9%,91%,
Atherosclerosis native arteries of the limbs with intermittent claudication,2430,3,223,2207,2,1,67%,33%,9%,91%,
INTERSTITIAL IDIOPATHIC DIFFUSED LUNG FIBROSIS,2430,3,223,2207,2,1,67%,33%,9%,91%,
ULCERATIVE COLITIS,2430,3,223,2207,2,1,67%,33%,9%,91%,
KNEE ENTHESOPATHY in progress. distortion trauma,2430,3,223,2207,2,1,67%,33%,9%,91%,
Paget bone disease,2430,3,223,2207,2,1,67%,33%,9%,91%,
'NETILMICINA',2430,3,223,2207,2,1,67%,33%,9%,91%,
'PIROXICAM',2430,3,223,2207,2,1,67%,33%,9%,91%,
CAROTID STENOSIS,2428,5,222,2206,3,2,60%,40%,9%,91%,
ARTERIOSCLEROSIS,2428,5,222,2206,3,2,60%,40%,9%,91%,
Impaired fasting blood sugar,2428,5,222,2206,3,2,60%,40%,9%,91%,
'ISOSORBIDE MONONITRATO',2420,13,218,2202,7,6,54%,46%,9%,91%,
TRANSIENT CEREBRAL ISCHEMIA,2416,17,216,2200,9,8,53%,47%,9%,91%,
K ESOPHAGUS,2431,2,224,2207,1,1,50%,50%,9%,91%,
K RIGHT COLON,2429,4,223,2206,2,2,50%,50%,9%,91%,
K RECTOSIGMOID JUNCTION,2431,2,224,2207,1,1,50%,50%,9%,91%,
K BRONCHI,2431,2,224,2207,1,1,50%,50%,9%,91%,
K UTERUS_1 (my edit),2429,4,223,2206,2,2,50%,50%,9%,91%,
K Papillary THYROID,2425,8,221,2204,4,4,50%,50%,9%,91%,
LIVER METASTASES from K colon,2431,2,224,2207,1,1,50%,50%,9%,91%,
UTERUS FIBROMA,2431,2,224,2207,1,1,50%,50%,9%,91%,
K IN SITU BREAST,2431,2,224,2207,1,1,50%,50%,9%,91%,
TOXIC UNINODULAR GOITER,2429,4,223,2206,2,2,50%,50%,9%,91%,
ACQUIRED HYPOTHYROIDISM OTHER,2429,4,223,2206,2,2,50%,50%,9%,91%,
HYPOPARATHYROIDISM,2431,2,224,2207,1,1,50%,50%,9%,91%,
PRESENILE DEMENTIA,2431,2,224,2207,1,1,50%,50%,9%,91%,
DEPRESSION_1 (my edit),2431,2,224,2207,1,1,50%,50%,9%,91%,
SECONDARY PARKINSONISM,2431,2,224,2207,1,1,50%,50%,9%,91%,
OPEN ANGLE GLAUCOMA,2429,4,223,2206,2,2,50%,50%,9%,91%,
THEY GIVE DEEP VISION IN BOTH EYES,2431,2,224,2207,1,1,50%,50%,9%,91%,
TRANSIENT CEREBRAL ISCHEMIA < TIA >_1 (my edit),2431,2,224,2207,1,1,50%,50%,9%,91%,
PERIPHERAL OBLITERANT ARTERIAL DISEASE PAD,2431,2,224,2207,1,1,50%,50%,9%,91%,
POPLITEAL THROMBOPHLEBITIS,2431,2,224,2207,1,1,50%,50%,9%,91%,
BRONCHITIS,2429,4,223,2206,2,2,50%,50%,9%,91%,
CROHN'S DISEASE,2431,2,224,2207,1,1,50%,50%,9%,91%,
GALLBLADDER EMPYEMA,2431,2,224,2207,1,1,50%,50%,9%,91%,
NEPHROTIC SYNDROME IN MEMBRANOUS GLOMERULONEPHRITIS,2431,2,224,2207,1,1,50%,50%,9%,91%,
Bilateral HYDROCELE,2429,4,223,2206,2,2,50%,50%,9%,91%,
Psoriatic ARTHRITIS,2431,2,224,2207,1,1,50%,50%,9%,91%,
RADICULAR COMPRESSION FROM CERVICAL DISC HERNIATION,2429,4,223,2206,2,2,50%,50%,9%,91%,
SPINAL COLUMN FRACTURE Spinous process D6-D7-D8,2431,2,224,2207,1,1,50%,50%,9%,91%,
LEFT CLAVICLE FRACTURE,2431,2,224,2207,1,1,50%,50%,9%,91%,
RADIO FRACTURE OF LEFT STYLOID,2431,2,224,2207,1,1,50%,50%,9%,91%,
ROTATOR CUFF DISTRACTION,2431,2,224,2207,1,1,50%,50%,9%,91%,
TRAUMATIC AMPUTATION OTHER FINGERS OF THE HAND IV-V finger of the right hand,2431,2,224,2207,1,1,50%,50%,9%,91%,
LOWER LIMBS ANGIOPLASTY,2431,2,224,2207,1,1,50%,50%,9%,91%,
CONTAINMENT BANKS,2431,2,224,2207,1,1,50%,50%,9%,91%,
CREATININE CLEARANCE,2431,2,224,2207,1,1,50%,50%,9%,91%,
TRANSFUSION COMPATIBILITY CROSS TEST.,2431,2,224,2207,1,1,50%,50%,9%,91%,
'CALMANTI E SONNO',2431,2,224,2207,1,1,50%,50%,9%,91%,
'CLISMI E MICROCLISMI RETTALI',2431,2,224,2207,1,1,50%,50%,9%,91%,
'CLOBETASOLO',2431,2,224,2207,1,1,50%,50%,9%,91%,
'DARBEPOETINA ALFA',2431,2,224,2207,1,1,50%,50%,9%,91%,
'DIOSMECTITE',2431,2,224,2207,1,1,50%,50%,9%,91%,
'FONDAPARINUX',2431,2,224,2207,1,1,50%,50%,9%,91%,
'LATANOPROST',2427,6,222,2205,3,3,50%,50%,9%,91%,
'LITIO',2431,2,224,2207,1,1,50%,50%,9%,91%,
'MICONAZOLO',2431,2,224,2207,1,1,50%,50%,9%,91%,
'MICROORGANISMI ANTIDIARROICI',2431,2,224,2207,1,1,50%,50%,9%,91%,
'OXCARBAZEPINA',2431,2,224,2207,1,1,50%,50%,9%,91%,
'OXIBUTININA',2431,2,224,2207,1,1,50%,50%,9%,91%,
'OXICODONE E NALOXONE',2427,6,222,2205,3,3,50%,50%,9%,91%,
'POLIENZIMI (LIPASI',2431,2,224,2207,1,1,50%,50%,9%,91%,
'POLIVITAMINICI ED ALTRI MINERALI INCLUSE LE ASSOCIAZIONI',2431,2,224,2207,1,1,50%,50%,9%,91%,
'PRAVASTATINA',2429,4,223,2206,2,2,50%,50%,9%,91%,
'PROMESTRIENE',2431,2,224,2207,1,1,50%,50%,9%,91%,
'ROTIGOTINA',2431,2,224,2207,1,1,50%,50%,9%,91%,
'SPIRONOLATTONE',2431,2,224,2207,1,1,50%,50%,9%,91%,
'TERBINAFINA',2431,2,224,2207,1,1,50%,50%,9%,91%,
Psoriasis,2431,2,224,2207,1,1,50%,50%,9%,91%,
'''052'''.1,2431,2,224,2207,1,1,50%,50%,9%,91%,
Blind,2431,2,224,2207,1,1,50%,50%,9%,91%,
'TORASEMIDE',2424,9,221,2203,4,5,44%,56%,9%,91%,
K PANCREAS,2426,7,222,2204,3,4,43%,57%,9%,91%,
GLAUCOMA LIMIT,2426,7,222,2204,3,4,43%,57%,9%,91%,
CHEST CT scan,2426,7,222,2204,3,4,43%,57%,9%,91%,
'FEBUXOSTAT',2426,7,222,2204,3,4,43%,57%,9%,91%,
Arterial hypertension without organ damage,2395,38,209,2186,16,22,42%,58%,9%,91%,
BMI<BODY MASS INDEX>,2397,36,210,2187,15,21,42%,58%,9%,91%,
K SIGMA,2428,5,223,2205,2,3,40%,60%,9%,91%,
K LIVER,2428,5,223,2205,2,3,40%,60%,9%,91%,
TRANSIENT CEREBRAL ISCHEMIA < TIA >,2428,5,223,2205,2,3,40%,60%,9%,91%,
GALLBLADSTONE STONES_1 (my edit),2428,5,223,2205,2,3,40%,60%,9%,91%,
URETERAL STONE,2428,5,223,2205,2,3,40%,60%,9%,91%,
SLEEP APNEA,2423,10,221,2202,4,6,40%,60%,9%,91%,
MRI UPPER ABDOMEN +CONTRAST,2428,5,223,2205,2,3,40%,60%,9%,91%,
PACE MAKER CONTROL AND PROGRAMMING,2428,5,223,2205,2,3,40%,60%,9%,91%,
WEIGHT,2393,40,209,2184,16,24,40%,60%,9%,91%,
'CANRENOATO DI POTASSIO',2428,5,223,2205,2,3,40%,60%,9%,91%,
'EPARINICI',2428,5,223,2205,2,3,40%,60%,9%,91%,
'QUINAPRIL',2423,10,221,2202,4,6,40%,60%,9%,91%,
'RIVAROXABAN',2428,5,223,2205,2,3,40%,60%,9%,91%,
DYSLIPIDEMIA - HYPERLIPIDEMIA -,2395,38,210,2185,15,23,39%,61%,9%,91%,
HEIGHT,2395,38,210,2185,15,23,39%,61%,9%,91%,
K STOMACH,2420,13,220,2200,5,8,38%,62%,9%,91%,
TG <THYROGLOBULIN>,2425,8,222,2203,3,5,38%,63%,9%,91%,
'ENALAPRIL',2425,8,222,2203,3,5,38%,63%,9%,91%,
'DIGOSSINA',2422,11,221,2201,4,7,36%,64%,9%,91%,
'IRBESARTAN',2422,11,221,2201,4,7,36%,64%,9%,91%,
RETICULOCYTES,2416,17,219,2197,6,11,35%,65%,9%,91%,
'DOXAZOSIN',2416,17,219,2197,6,11,35%,65%,9%,91%,
'ATORVASTATINA',2343,90,194,2149,31,59,34%,66%,8%,92%,
K LARYNX,2430,3,224,2206,1,2,33%,67%,9%,91%,
K THYROID,2430,3,224,2206,1,2,33%,67%,9%,91%,
CHRONIC LYMPHOID LEUKEMIA,2430,3,224,2206,1,2,33%,67%,9%,91%,
TB CRANIAL NERVES,2430,3,224,2206,1,2,33%,67%,9%,91%,
COGNITIVE DEFICIT,2430,3,224,2206,1,2,33%,67%,9%,91%,
MACULOPATHY,2430,3,224,2206,1,2,33%,67%,9%,91%,
BLINDNESS?ɂǨ DX,2430,3,224,2206,1,2,33%,67%,9%,91%,
DILATED CARDIOMYOPATHY,2430,3,224,2206,1,2,33%,67%,9%,91%,
COMPLETE SN BRANCH BLOCK,2427,6,223,2204,2,4,33%,67%,9%,91%,
CONGESTIVE HEART FAILURE CONGESTIVE HEART FAILURE,2430,3,224,2206,1,2,33%,67%,9%,91%,
CAROTID ARTERY STENOSIS,2430,3,224,2206,1,2,33%,67%,9%,91%,
CEREBRAL ARTERIOSCLEROSIS,2430,3,224,2206,1,2,33%,67%,9%,91%,
NOT RUPTURED ABDOMINAL AORTA ANEURYSM,2430,3,224,2206,1,2,33%,67%,9%,91%,
RAYNAUD SYNDROME,2430,3,224,2206,1,2,33%,67%,9%,91%,
REGIONAL ENTERITIS OR COLON CROHN'S DISEASE,2427,6,223,2204,2,4,33%,67%,9%,91%,
ACUTE PANCREATITIS,2427,6,223,2204,2,4,33%,67%,9%,91%,
CHRONIC PANCREATITIS,2430,3,224,2206,1,2,33%,67%,9%,91%,
RENAL PTOSIS,2430,3,224,2206,1,2,33%,67%,9%,91%,
MACROHEMATURIA,2430,3,224,2206,1,2,33%,67%,9%,91%,
PROSTATIC HYPERTROPHY,2430,3,224,2206,1,2,33%,67%,9%,91%,
ACNE rosacea,2430,3,224,2206,1,2,33%,67%,9%,91%,
VENOUS INSUFFICIENCY ULCER right leg,2430,3,224,2206,1,2,33%,67%,9%,91%,
POLYARTHROSIS,2430,3,224,2206,1,2,33%,67%,9%,91%,
FRACTURE A RIB,2430,3,224,2206,1,2,33%,67%,9%,91%,
END-PROXIMAL HUMERUS FRACTURE,2430,3,224,2206,1,2,33%,67%,9%,91%,
FRACTURE OF THE LEFT PATELLA,2430,3,224,2206,1,2,33%,67%,9%,91%,
RIGHT ANKLE FRACTURE,2430,3,224,2206,1,2,33%,67%,9%,91%,
PRESENCE TRACHEOSTOMY,2430,3,224,2206,1,2,33%,67%,9%,91%,
INVASIVE URODYNAMIC EXAM,2430,3,224,2206,1,2,33%,67%,9%,91%,
RX FOREARM RX,2430,3,224,2206,1,2,33%,67%,9%,91%,
AXIAL RX PATELLA RIGHT,2430,3,224,2206,1,2,33%,67%,9%,91%,
CT scan of the LUMBOSACLAR SPINE,2427,6,223,2204,2,4,33%,67%,9%,91%,
MRI LOWER ABDOMEN AND PELVIS +CONTRAST,2430,3,224,2206,1,2,33%,67%,9%,91%,
GLOBAL BODY TOMOSCENT (PET),2430,3,224,2206,1,2,33%,67%,9%,91%,
BLOOD OR BLOOD COMPONENTS TRANSFUSION,2430,3,224,2206,1,2,33%,67%,9%,91%,
REMOVAL OF STITCHES,2430,3,224,2206,1,2,33%,67%,9%,91%,
CLEARANCE CREATININE (COCKROFT),2277,156,173,2104,52,104,33%,67%,8%,92%,
'ALFACALCIDOLO',2424,9,222,2202,3,6,33%,67%,9%,91%,
'BIMATOPROST',2421,12,221,2200,4,8,33%,67%,9%,91%,
'BRINZOLAMIDE',2418,15,220,2198,5,10,33%,67%,9%,91%,
'CALCIO (SALI DIVERSI IN ASSOCIAZIONE)',2430,3,224,2206,1,2,33%,67%,9%,91%,
'CARVEDILOLO',2418,15,220,2198,5,10,33%,67%,9%,91%,
'CINNARIZINA',2430,3,224,2206,1,2,33%,67%,9%,91%,
'DIAZEPAM',2430,3,224,2206,1,2,33%,67%,9%,91%,
'DILTIAZEM',2430,3,224,2206,1,2,33%,67%,9%,91%,
'ENALAPRIL E DIURETICI',2430,3,224,2206,1,2,33%,67%,9%,91%,
'IMIDAZOLI/TRIAZOLI IN ASSOCIAZIONE CON CORTICOSTEROIDI',2424,9,222,2202,3,6,33%,67%,9%,91%,
'LACIDIPINA',2430,3,224,2206,1,2,33%,67%,9%,91%,
'LISINOPRIL',2427,6,223,2204,2,4,33%,67%,9%,91%,
'LISINOPRIL E DIURETICI',2430,3,224,2206,1,2,33%,67%,9%,91%,
'LORMETAZEPAM',2427,6,223,2204,2,4,33%,67%,9%,91%,
'NADROPARINA',2430,3,224,2206,1,2,33%,67%,9%,91%,
'PERINDOPRIL E AMLODIPINA',2430,3,224,2206,1,2,33%,67%,9%,91%,
'PERINDOPRIL E DIURETICI',2430,3,224,2206,1,2,33%,67%,9%,91%,
'SALBUTAMOLO E IPRATROPIO BROMURO',2430,3,224,2206,1,2,33%,67%,9%,91%,
'SIMVASTATINA ED EZETIMIBE',2427,6,223,2204,2,4,33%,67%,9%,91%,
'TIOTROPIO BROMURO',2430,3,224,2206,1,2,33%,67%,9%,91%,
'TRAVOPROST',2427,6,223,2204,2,4,33%,67%,9%,91%,
'VERAPAMIL',2430,3,224,2206,1,2,33%,67%,9%,91%,
Arterial hypertension (St. II and III),2297,136,180,2117,45,91,33%,67%,8%,92%,
ECODOPPLER SUPRAORTIC TRUNKS<ECOCOLOR>,2386,47,210,2176,15,32,32%,68%,9%,91%,
'TIMOLOLO',2398,35,214,2184,11,24,31%,69%,9%,91%,
'WARFARIN',2398,35,214,2184,11,24,31%,69%,9%,91%,
Lymphoma,2423,10,222,2201,3,7,30%,70%,9%,91%,
ARTERIOSCLEROTIC DEMENTIA,2413,20,219,2194,6,14,30%,70%,9%,91%,
'FUROSEMIDE E FARMACI RISPARMIATORI DI POTASSIO',2423,10,222,2201,3,7,30%,70%,9%,91%,
'METRONIDAZOLO',2423,10,222,2201,3,7,30%,70%,9%,91%,
GLAUCOMA,2291,142,183,2108,42,100,30%,70%,8%,92%,
'CANRENONE',2409,24,218,2191,7,17,29%,71%,9%,91%,
CHRONIC RENAL FAILURE,2367,66,206,2161,19,47,29%,71%,9%,91%,
K PROSTATE_1 (my edit),2412,21,219,2193,6,15,29%,71%,9%,91%,
NODAL MARGINAL B LYMPHOMA,2426,7,223,2203,2,5,29%,71%,9%,91%,
TOXIC MULTINODULAR GOITER,2419,14,221,2198,4,10,29%,71%,9%,91%,
ATRIAL FIBRILLATION,2412,21,219,2193,6,15,29%,71%,9%,91%,
EARLY MENOPAUSE,2426,7,223,2203,2,5,29%,71%,9%,91%,
HYSTEROSCOPY,2426,7,223,2203,2,5,29%,71%,9%,91%,
EEG,2426,7,223,2203,2,5,29%,71%,9%,91%,
POLYSOMNOGRAM,2426,7,223,2203,2,5,29%,71%,9%,91%,
DIGOXIN,2426,7,223,2203,2,5,29%,71%,9%,91%,
INORGANIC PHOSPHATE <S>,2426,7,223,2203,2,5,29%,71%,9%,91%,
'ACIDO ALENDRONICO E COLECALCIFEROLO',2426,7,223,2203,2,5,29%,71%,9%,91%,
'ALTRE SOSTANZE X TRATT.DI EMORROIDI E RAGADI ANALI U.TOPICO',2419,14,221,2198,4,10,29%,71%,9%,91%,
'FINASTERIDE',2426,7,223,2203,2,5,29%,71%,9%,91%,
'IRBESARTAN E DIURETICI',2426,7,223,2203,2,5,29%,71%,9%,91%,
HEART FAILURE,2337,96,198,2139,27,69,28%,72%,8%,92%,
'IDROXOCOBALAMINA',2408,25,218,2190,7,18,28%,72%,9%,91%,
'RAMIPRIL E AMLODIPINA',2404,29,217,2187,8,21,28%,72%,9%,91%,
ACUTE MYOCARDIAL INFARCTION_2 (my edit),2393,40,214,2179,11,29,28%,73%,9%,91%,
CHRONIC CARDIAC ISCHEMIA,2349,84,202,2147,23,61,27%,73%,9%,91%,
K PULMONARY,2422,11,222,2200,3,8,27%,73%,9%,91%,
CUTANEOUS MELANOMA,2422,11,222,2200,3,8,27%,73%,9%,91%,
SENILE DEMENTIA,2389,44,213,2176,12,32,27%,73%,9%,91%,
NEPHROLITHIASIS,2411,22,219,2192,6,16,27%,73%,9%,91%,
LEFT KNEE PROSTHESIS,2411,22,219,2192,6,16,27%,73%,9%,91%,
INTELLECTUAL IMPAIRMENT TEST,2422,11,222,2200,3,8,27%,73%,9%,91%,
'EPERISONE',2422,11,222,2200,3,8,27%,73%,9%,91%,
